ATR-BASED VOLUME IMBALANCE STRATEGY
Period: Nov 1 2025 - Jan 28 2026 (3 months)

FORMULA:
Reference Candle,Volume >= 3x average of last 5 candles
Day Range Filter,Day Range >= X * ATR (where X is multiplier)
Entry,Price > Ref High AND Volume > Ref Volume
Stop Loss,1% below entry
Take Profit,4% above entry
Trailing,At +2% SL->BE | At +3% SL->+1%

ATR MULTIPLIER COMPARISON
ATR Mult,Total Setups,Executed Trades,Wins,Locked,Breakeven,Losses,Win Rate,Profit Rate,Final Capital,Return
1,1837,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
1.5,1828,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
2,1814,234,33,21,24,151,14.1%,23.1%,$9.40,-90.6%
2.5,1803,233,33,21,24,150,14.2%,23.2%,$10.45,-89.6%
3,1783,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
3.5,1766,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
4,1752,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%

BEST MULTIPLIER: 2.5x ATR

TRADE DETAILS (Best Multiplier)
Trade,Symbol,Date,Day Range (ATR),Entry Price,Exit Price,Result,P&L %,Capital
88,DOGEUSDT,2025-11-28,7.60,0.15091075999999998,0.15241986759999998,WIN_LOCKED,1.00,117.92
89,DOGEUSDT,2025-11-28,15.95,0.15053038,0.1490250762,LOSS,-1.00,106.13
90,NEARUSDT,2025-11-29,10.18,1.8758739999999998,1.8571152599999998,LOSS,-1.00,95.52
91,DOGEUSDT,2025-11-29,14.72,0.14832817999999998,0.14684489819999996,LOSS,-1.00,85.97
92,ETHUSDT,2025-12-01,36.31,2844.66182,2816.2152017999997,LOSS,-1.00,77.37
93,DOGEUSDT,2025-12-01,18.15,0.13543529999999998,0.13408094699999998,LOSS,-1.00,69.63
94,DOGEUSDT,2025-12-01,24.87,0.13292278999999999,0.1382397016,WIN_FULL,4.00,97.49
95,DOGEUSDT,2025-12-02,9.32,0.13736722999999998,0.1428619192,WIN_FULL,4.00,136.48
96,DOGEUSDT,2025-12-02,15.37,0.14143129,0.14708854159999998,WIN_FULL,4.00,191.07
97,DOGEUSDT,2025-12-03,3.84,0.14640625999999998,0.1478703226,WIN_LOCKED,1.00,210.18
98,DOGEUSDT,2025-12-03,18.29,0.15024009,0.1487376891,LOSS,-1.00,189.16
99,DOGEUSDT,2025-12-03,24.63,0.15061046,0.1491043554,LOSS,-1.00,170.25
100,DOGEUSDT,2025-12-04,15.14,0.14986971999999998,0.14837102279999997,LOSS,-1.00,153.22
101,DOGEUSDT,2025-12-04,16.37,0.14994979999999997,0.14845030199999998,LOSS,-1.00,137.90
102,DOGEUSDT,2025-12-04,12.58,0.14936921999999997,0.14787552779999996,LOSS,-1.00,124.11
103,NEARUSDT,2025-12-04,22.17,1.7857839999999998,1.7679261599999998,LOSS,-1.00,111.70
104,NEARUSDT,2025-12-05,13.28,1.7717699999999998,1.7540523,LOSS,-1.00,100.53
105,ETHUSDT,2025-12-05,10.39,3134.0409099999997,3102.7005008999995,LOSS,-1.00,90.48
106,DOGEUSDT,2025-12-05,15.25,0.14395381,0.1425142719,LOSS,-1.00,81.43
107,DOGEUSDT,2025-12-05,12.44,0.14264249999999998,0.14121607499999997,LOSS,-1.00,73.28
108,NEARUSDT,2025-12-05,10.52,1.708707,1.6916199299999999,LOSS,-1.00,65.96
109,DOGEUSDT,2025-12-06,6.38,0.1397396,0.138342204,LOSS,-1.00,59.36
110,NEARUSDT,2025-12-07,11.57,1.6786769999999998,1.6618902299999998,LOSS,-1.00,53.42
111,DOGEUSDT,2025-12-07,13.43,0.13921908,0.13921908,BREAKEVEN,0.00,53.42
112,NEARUSDT,2025-12-08,4.97,1.7257239999999998,1.7084667599999999,LOSS,-1.00,48.08
113,NEARUSDT,2025-12-08,16.80,1.7587569999999997,1.7587569999999997,BREAKEVEN,0.00,48.08
114,NEARUSDT,2025-12-08,19.74,1.773772,1.75603428,LOSS,-1.00,43.27
