DOGEUSDT 15m - EVERY CANDLE ANALYZED (Last 7 Days)
Entry Condition: 5-candle return < -2% AND position in range < 30%

Candle #,Date/Time,Open,High,Low,Close,5c Return %,10c High,10c Low,Position in Range %,Drop OK?,Position OK?,SIGNAL?
95,2026-01-21 18:00:00,0.121960,0.123190,0.121610,0.122890,1.83%,0.126480,0.120220,42.7%,NO,NO,
96,2026-01-21 18:15:00,0.122890,0.123000,0.122130,0.122420,1.60%,0.126480,0.120220,35.1%,NO,NO,
97,2026-01-21 18:30:00,0.122410,0.122920,0.122310,0.122640,0.94%,0.126390,0.120220,39.2%,NO,NO,
98,2026-01-21 18:45:00,0.122650,0.123850,0.122550,0.123490,1.48%,0.125450,0.120220,62.5%,NO,NO,
99,2026-01-21 19:00:00,0.123490,0.123860,0.123110,0.123370,1.16%,0.124720,0.120220,70.0%,NO,NO,
100,2026-01-21 19:15:00,0.123360,0.125780,0.123180,0.125580,2.19%,0.123860,0.120220,147.3%,NO,NO,
101,2026-01-21 19:30:00,0.125590,0.127720,0.125310,0.127620,4.25%,0.125780,0.120220,133.1%,NO,NO,
102,2026-01-21 19:45:00,0.127630,0.128340,0.127300,0.128050,4.41%,0.127720,0.120220,104.4%,NO,NO,
103,2026-01-21 20:00:00,0.128040,0.128270,0.127100,0.127400,3.17%,0.128340,0.120860,87.4%,NO,NO,
104,2026-01-21 20:15:00,0.127400,0.127420,0.126400,0.126740,2.73%,0.128340,0.121440,76.8%,NO,NO,
105,2026-01-21 20:30:00,0.126740,0.127120,0.126460,0.126920,1.07%,0.128340,0.121610,78.9%,NO,NO,
106,2026-01-21 20:45:00,0.126920,0.127790,0.126900,0.127780,0.13%,0.128340,0.122130,91.0%,NO,NO,
107,2026-01-21 21:00:00,0.127780,0.128270,0.127430,0.127780,-0.21%,0.128340,0.122310,90.7%,NO,NO,
108,2026-01-21 21:15:00,0.127780,0.128640,0.127610,0.127750,0.27%,0.128340,0.122550,89.8%,NO,NO,
109,2026-01-21 21:30:00,0.127740,0.128260,0.127700,0.128160,1.12%,0.128640,0.123110,91.3%,NO,NO,
110,2026-01-21 21:45:00,0.128160,0.128290,0.127910,0.127990,0.84%,0.128640,0.123180,88.1%,NO,NO,
111,2026-01-21 22:00:00,0.128000,0.128760,0.127930,0.128070,0.23%,0.128640,0.125310,82.9%,NO,NO,
112,2026-01-21 22:15:00,0.128060,0.128150,0.127470,0.127500,-0.22%,0.128760,0.126400,46.6%,NO,NO,
113,2026-01-21 22:30:00,0.127490,0.127580,0.127080,0.127310,-0.34%,0.128760,0.126400,38.6%,NO,NO,
114,2026-01-21 22:45:00,0.127310,0.127570,0.127070,0.127210,-0.74%,0.128760,0.126400,34.3%,NO,NO,
115,2026-01-21 23:00:00,0.127210,0.127870,0.127210,0.127590,-0.31%,0.128760,0.126460,49.1%,NO,NO,
116,2026-01-21 23:15:00,0.127590,0.127610,0.126600,0.127360,-0.55%,0.128760,0.126900,24.7%,NO,YES,
117,2026-01-21 23:30:00,0.127360,0.127360,0.126570,0.126620,-0.69%,0.128760,0.126600,0.9%,NO,YES,
118,2026-01-21 23:45:00,0.126630,0.126840,0.126150,0.126440,-0.68%,0.128760,0.126570,-5.9%,NO,YES,
119,2026-01-22 00:00:00,0.126450,0.126970,0.126440,0.126850,-0.28%,0.128760,0.126150,26.8%,NO,YES,
120,2026-01-22 00:15:00,0.126860,0.127070,0.126670,0.126840,-0.59%,0.128760,0.126150,26.4%,NO,YES,
121,2026-01-22 00:30:00,0.126830,0.127370,0.126790,0.127130,-0.18%,0.128760,0.126150,37.5%,NO,NO,
122,2026-01-22 00:45:00,0.127130,0.127390,0.127000,0.127040,0.33%,0.128150,0.126150,44.5%,NO,NO,
123,2026-01-22 01:00:00,0.127040,0.127350,0.126840,0.127110,0.53%,0.127870,0.126150,55.8%,NO,NO,
124,2026-01-22 01:15:00,0.127100,0.127640,0.127080,0.127540,0.54%,0.127870,0.126150,80.8%,NO,NO,
125,2026-01-22 01:30:00,0.127540,0.127610,0.127240,0.127510,0.53%,0.127870,0.126150,79.1%,NO,NO,
126,2026-01-22 01:45:00,0.127520,0.127740,0.127370,0.127680,0.43%,0.127640,0.126150,102.7%,NO,NO,
127,2026-01-22 02:00:00,0.127670,0.127860,0.127430,0.127580,0.43%,0.127740,0.126150,89.9%,NO,NO,
128,2026-01-22 02:15:00,0.127570,0.127840,0.127540,0.127620,0.40%,0.127860,0.126150,86.0%,NO,NO,
129,2026-01-22 02:30:00,0.127620,0.127630,0.127160,0.127370,-0.13%,0.127860,0.126440,65.5%,NO,NO,
130,2026-01-22 02:45:00,0.127360,0.127480,0.126920,0.127010,-0.39%,0.127860,0.126670,28.6%,NO,YES,
