Symbol,Entry Date,Exit Date,Entry Price,Stop Loss,Take Profit,Exit Price,Risk %,Exit Reason,PnL %,PnL w/ Leverage,Trailing Level
DOGEUSDT,2026-01-07T08:51:00.000Z,2026-01-07T08:52:00.000Z,0.15116,0.15053,0.15367999999999998,0.15367999999999998,0.417,Take Profit,1.667,16.67,2
DOGEUSDT,2026-01-07T14:32:00.000Z,2026-01-07T15:18:00.000Z,0.14647,0.1451,0.15194999999999992,0.1451,0.935,Stop Loss,-0.935,-9.35,0
DOGEUSDT,2026-01-07T15:38:00.000Z,2026-01-07T18:04:00.000Z,0.14608,0.14542,0.14871999999999996,0.14674,0.452,Trailing SL (+1:1),0.452,4.52,2
DOGEUSDT,2026-01-07T18:28:00.000Z,2026-01-07T19:09:00.000Z,0.14698,0.14606,0.15066000000000002,0.14606,0.626,Stop Loss,-0.626,-6.26,0
DOGEUSDT,2026-01-07T19:20:00.000Z,2026-01-07T22:51:00.000Z,0.14612,0.14549,0.14864,0.14549,0.431,Stop Loss,-0.431,-4.31,0
DOGEUSDT,2026-01-07T23:15:00.000Z,2026-01-08T02:36:00.000Z,0.14613,0.14545,0.14885000000000004,0.14613,0.465,Trailing SL (BE),0.000,0.00,1
DOGEUSDT,2026-01-08T04:26:00.000Z,2026-01-08T06:05:00.000Z,0.14602,0.14458,0.15178000000000008,0.14458,0.986,Stop Loss,-0.986,-9.86,0
NEARUSDT,2026-01-08T07:23:00.000Z,2026-01-08T13:36:00.000Z,1.691,1.667,1.7870000000000001,1.667,1.419,Stop Loss,-1.419,-14.19,0
NEARUSDT,2026-01-08T14:12:00.000Z,2026-01-08T14:26:00.000Z,1.672,1.662,1.712,1.662,0.598,Stop Loss,-0.598,-5.98,0
DOGEUSDT,2026-01-08T15:17:00.000Z,2026-01-08T15:18:00.000Z,0.13868,0.13823,0.14048000000000002,0.14048000000000002,0.324,Take Profit,1.298,12.98,2
NEARUSDT,2026-01-08T15:45:00.000Z,2026-01-08T20:03:00.000Z,1.673,1.657,1.7369999999999999,1.673,0.956,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-09T00:16:00.000Z,2026-01-09T00:25:00.000Z,1.67,1.665,1.6899999999999993,1.6899999999999993,0.299,Take Profit,1.198,11.98,2
NEARUSDT,2026-01-09T01:28:00.000Z,2026-01-09T01:36:00.000Z,1.693,1.681,1.741,1.681,0.709,Stop Loss,-0.709,-7.09,0
NEARUSDT,2026-01-09T02:10:00.000Z,2026-01-09T02:27:00.000Z,1.692,1.687,1.7119999999999995,1.687,0.296,Stop Loss,-0.296,-2.96,0
NEARUSDT,2026-01-09T03:46:00.000Z,2026-01-09T08:32:00.000Z,1.685,1.677,1.717,1.685,0.475,Trailing SL (BE),0.000,0.00,1
DOGEUSDT,2026-01-09T08:04:00.000Z,2026-01-09T08:45:00.000Z,0.141,0.14025,0.14399999999999988,0.14025,0.532,Stop Loss,-0.532,-5.32,0
NEARUSDT,2026-01-09T13:30:00.000Z,2026-01-09T14:34:00.000Z,1.671,1.661,1.7110000000000003,1.681,0.598,Trailing SL (+1:1),0.598,5.98,2
NEARUSDT,2026-01-11T19:54:00.000Z,2026-01-11T20:00:00.000Z,1.721,1.717,1.7370000000000003,1.717,0.232,Stop Loss,-0.232,-2.32,0
NEARUSDT,2026-01-12T02:13:00.000Z,2026-01-12T02:38:00.000Z,1.714,1.707,1.7419999999999995,1.7419999999999995,0.408,Take Profit,1.634,16.34,2
NEARUSDT,2026-01-12T02:51:00.000Z,2026-01-12T03:25:00.000Z,1.749,1.744,1.7690000000000003,1.7690000000000003,0.286,Take Profit,1.144,11.44,2
NEARUSDT,2026-01-12T16:33:00.000Z,2026-01-12T17:23:00.000Z,1.717,1.707,1.7570000000000001,1.707,0.582,Stop Loss,-0.582,-5.82,0
NEARUSDT,2026-01-12T18:01:00.000Z,2026-01-12T18:37:00.000Z,1.699,1.685,1.7550000000000001,1.685,0.824,Stop Loss,-0.824,-8.24,0
NEARUSDT,2026-01-13T02:03:00.000Z,2026-01-13T03:06:00.000Z,1.707,1.696,1.7510000000000006,1.696,0.644,Stop Loss,-0.644,-6.44,0
NEARUSDT,2026-01-13T04:12:00.000Z,2026-01-13T05:19:00.000Z,1.695,1.687,1.727,1.727,0.472,Take Profit,1.888,18.88,2
NEARUSDT,2026-01-13T05:21:00.000Z,2026-01-13T05:22:00.000Z,1.734,1.727,1.7619999999999993,1.727,0.404,Stop Loss,-0.404,-4.04,0
NEARUSDT,2026-01-13T06:10:00.000Z,2026-01-13T08:28:00.000Z,1.725,1.718,1.7530000000000008,1.7320000000000002,0.406,Trailing SL (+1:1),0.406,4.06,2
NEARUSDT,2026-01-13T09:33:00.000Z,2026-01-13T09:52:00.000Z,1.735,1.728,1.7630000000000006,1.7630000000000006,0.403,Take Profit,1.614,16.14,2
NEARUSDT,2026-01-13T10:21:00.000Z,2026-01-13T11:13:00.000Z,1.767,1.758,1.8029999999999995,1.7759999999999998,0.509,Trailing SL (+1:1),0.509,5.09,2
NEARUSDT,2026-01-13T11:41:00.000Z,2026-01-13T11:45:00.000Z,1.779,1.771,1.8110000000000002,1.771,0.450,Stop Loss,-0.450,-4.50,0
NEARUSDT,2026-01-13T12:55:00.000Z,2026-01-13T15:21:00.000Z,1.775,1.755,1.8549999999999998,1.775,1.127,Trailing SL (BE),0.000,0.00,1
DOGEUSDT,2026-01-13T14:31:00.000Z,2026-01-13T19:53:00.000Z,0.13999,0.13892,0.14427000000000006,0.14427000000000006,0.764,Take Profit,3.057,30.57,2
NEARUSDT,2026-01-13T16:27:00.000Z,2026-01-13T16:28:00.000Z,1.786,1.78,1.8099999999999998,1.8099999999999998,0.336,Take Profit,1.344,13.44,2
NEARUSDT,2026-01-13T16:50:00.000Z,2026-01-14T04:08:00.000Z,1.827,1.808,1.9029999999999998,1.846,1.040,Trailing SL (+1:1),1.040,10.40,2
DOGEUSDT,2026-01-13T22:07:00.000Z,2026-01-14T11:19:00.000Z,0.14505,0.14353,0.1511300000000001,0.14657000000000003,1.048,Trailing SL (+1:1),1.048,10.48,2
ETHUSDT,2026-01-13T23:00:00.000Z,2026-01-13T23:34:00.000Z,3340.68,3321.2,3418.6,3321.2,0.583,Stop Loss,-0.583,-5.83,0
ETHUSDT,2026-01-14T01:27:00.000Z,2026-01-14T10:20:00.000Z,3331.86,3315.15,3398.7000000000003,3315.15,0.502,Stop Loss,-0.502,-5.02,0
NEARUSDT,2026-01-14T09:11:00.000Z,2026-01-14T09:15:00.000Z,1.852,1.848,1.868,1.848,0.216,Stop Loss,-0.216,-2.16,0
NEARUSDT,2026-01-14T10:05:00.000Z,2026-01-14T10:10:00.000Z,1.85,1.847,1.8620000000000003,1.8620000000000003,0.162,Take Profit,0.649,6.49,2
DOGEUSDT,2026-01-14T12:23:00.000Z,2026-01-14T13:48:00.000Z,0.14693,0.14581,0.15141000000000004,0.14581,0.762,Stop Loss,-0.762,-7.62,0
DOGEUSDT,2026-01-14T14:16:00.000Z,2026-01-14T14:17:00.000Z,0.14591,0.14562,0.14707000000000006,0.14707000000000006,0.199,Take Profit,0.795,7.95,2
ETHUSDT,2026-01-14T14:16:00.000Z,2026-01-14T17:37:00.000Z,3309.57,3280.48,3425.9300000000007,3338.6600000000003,0.879,Trailing SL (+1:1),0.879,8.79,2
DOGEUSDT,2026-01-14T14:46:00.000Z,2026-01-14T15:00:00.000Z,0.14748,0.14683,0.15008000000000005,0.14813,0.441,Trailing SL (+1:1),0.441,4.41,2
DOGEUSDT,2026-01-14T16:06:00.000Z,2026-01-14T17:37:00.000Z,0.14922,0.14791,0.1544599999999999,0.14791,0.878,Stop Loss,-0.878,-8.78,0
ETHUSDT,2026-01-14T19:16:00.000Z,2026-01-15T02:34:00.000Z,3347.56,3315.51,3475.759999999999,3315.51,0.957,Stop Loss,-0.957,-9.57,0
DOGEUSDT,2026-01-14T19:29:00.000Z,2026-01-15T00:35:00.000Z,0.14807,0.14628,0.1552300000000001,0.14628,1.209,Stop Loss,-1.209,-12.09,0
DOGEUSDT,2026-01-15T01:03:00.000Z,2026-01-15T01:21:00.000Z,0.14651,0.14542,0.15087000000000003,0.14542,0.744,Stop Loss,-0.744,-7.44,0
NEARUSDT,2026-01-15T01:48:00.000Z,2026-01-15T01:50:00.000Z,1.793,1.787,1.8169999999999997,1.787,0.335,Stop Loss,-0.335,-3.35,0
ETHUSDT,2026-01-15T05:46:00.000Z,2026-01-15T18:41:00.000Z,3315.15,3278,3463.7500000000005,3278,1.121,Stop Loss,-1.121,-11.21,0
DOGEUSDT,2026-01-15T16:26:00.000Z,2026-01-15T16:28:00.000Z,0.14168,0.14101,0.14436000000000002,0.14101,0.473,Stop Loss,-0.473,-4.73,0
ETHUSDT,2026-01-15T19:31:00.000Z,2026-01-15T20:50:00.000Z,3287.06,3276.96,3327.4599999999996,3276.96,0.307,Stop Loss,-0.307,-3.07,0
ETHUSDT,2026-01-16T02:04:00.000Z,2026-01-16T02:20:00.000Z,3288.59,3284.28,3305.8299999999995,3292.9,0.131,Trailing SL (+1:1),0.131,1.31,2
ETHUSDT,2026-01-16T02:41:00.000Z,2026-01-16T04:33:00.000Z,3297.71,3292.24,3319.590000000001,3292.24,0.166,Stop Loss,-0.166,-1.66,0
ETHUSDT,2026-01-16T14:31:00.000Z,2026-01-16T15:33:00.000Z,3292.38,3277.04,3353.740000000001,3277.04,0.466,Stop Loss,-0.466,-4.66,0
DOGEUSDT,2026-01-16T21:30:00.000Z,2026-01-18T15:02:00.000Z,0.13636,0.1351,0.14140000000000008,0.13636,0.924,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-17T08:40:00.000Z,2026-01-17T09:12:00.000Z,1.77,1.765,1.7900000000000007,1.7900000000000007,0.282,Take Profit,1.130,11.30,2
NEARUSDT,2026-01-17T10:17:00.000Z,2026-01-17T10:53:00.000Z,1.796,1.778,1.8679999999999999,1.778,1.002,Stop Loss,-1.002,-10.02,0
NEARUSDT,2026-01-17T11:23:00.000Z,2026-01-17T11:41:00.000Z,1.782,1.775,1.8100000000000003,1.775,0.393,Stop Loss,-0.393,-3.93,0
NEARUSDT,2026-01-17T12:45:00.000Z,2026-01-17T12:46:00.000Z,1.775,1.772,1.7869999999999995,1.7869999999999995,0.169,Take Profit,0.676,6.76,2
NEARUSDT,2026-01-17T13:18:00.000Z,2026-01-17T13:27:00.000Z,1.791,1.786,1.8109999999999997,1.786,0.279,Stop Loss,-0.279,-2.79,0
NEARUSDT,2026-01-17T13:31:00.000Z,2026-01-17T13:33:00.000Z,1.787,1.785,1.7949999999999997,1.7949999999999997,0.112,Take Profit,0.448,4.48,2
NEARUSDT,2026-01-17T14:55:00.000Z,2026-01-17T15:26:00.000Z,1.793,1.78,1.8449999999999995,1.78,0.725,Stop Loss,-0.725,-7.25,0
ETHUSDT,2026-01-18T14:15:00.000Z,2026-01-18T18:28:00.000Z,3275.36,3253.01,3364.76,3364.76,0.682,Take Profit,2.729,27.29,2
DOGEUSDT,2026-01-18T15:53:00.000Z,2026-01-18T16:01:00.000Z,0.13667,0.13646,0.13751000000000008,0.13646,0.154,Stop Loss,-0.154,-1.54,0
DOGEUSDT,2026-01-18T18:28:00.000Z,2026-01-18T23:04:00.000Z,0.13706,0.13632,0.14001999999999995,0.13632,0.540,Stop Loss,-0.540,-5.40,0
ETHUSDT,2026-01-20T16:20:00.000Z,2026-01-20T16:31:00.000Z,3028.3,3020.25,3060.500000000001,3020.25,0.266,Stop Loss,-0.266,-2.66,0
ETHUSDT,2026-01-21T00:37:00.000Z,2026-01-21T03:40:00.000Z,2945.26,2936.58,2979.9800000000014,2979.9800000000014,0.295,Take Profit,1.179,11.79,2
ETHUSDT,2026-01-21T04:43:00.000Z,2026-01-21T05:47:00.000Z,2980.01,2974.85,3000.6500000000015,3000.6500000000015,0.173,Take Profit,0.693,6.93,2
ETHUSDT,2026-01-21T14:05:00.000Z,2026-01-21T16:23:00.000Z,2942,2920.51,3027.959999999999,2963.49,0.730,Trailing SL (+1:1),0.730,7.30,2
ETHUSDT,2026-01-26T00:16:00.000Z,2026-01-26T01:04:00.000Z,2800.55,2787,2854.750000000001,2854.750000000001,0.484,Take Profit,1.935,19.35,2
NEARUSDT,2026-01-26T00:50:00.000Z,2026-01-26T01:06:00.000Z,1.437,1.432,1.4570000000000005,1.4570000000000005,0.348,Take Profit,1.392,13.92,2
ETHUSDT,2026-01-26T01:22:00.000Z,2026-01-26T01:26:00.000Z,2879.1,2870.64,2912.9399999999996,2870.64,0.294,Stop Loss,-0.294,-2.94,0
NEARUSDT,2026-01-26T01:56:00.000Z,2026-01-26T01:58:00.000Z,1.468,1.464,1.484,1.464,0.272,Stop Loss,-0.272,-2.72,0
NEARUSDT,2026-01-26T02:21:00.000Z,2026-01-26T02:31:00.000Z,1.457,1.455,1.4649999999999999,1.4649999999999999,0.137,Take Profit,0.549,5.49,2
NEARUSDT,2026-01-26T07:18:00.000Z,2026-01-26T07:23:00.000Z,1.473,1.47,1.4850000000000005,1.47,0.204,Stop Loss,-0.204,-2.04,0
ETHUSDT,2026-01-26T08:21:00.000Z,2026-01-26T08:23:00.000Z,2906.24,2901.77,2924.1199999999994,2924.1199999999994,0.154,Take Profit,0.615,6.15,2
NEARUSDT,2026-01-26T08:23:00.000Z,2026-01-26T08:52:00.000Z,1.474,1.465,1.5099999999999996,1.465,0.611,Stop Loss,-0.611,-6.11,0
ETHUSDT,2026-01-26T14:34:00.000Z,2026-01-28T10:15:00.000Z,2908.44,2875.77,3039.1200000000003,3039.1200000000003,1.123,Take Profit,4.493,44.93,2
NEARUSDT,2026-01-26T14:35:00.000Z,2026-01-26T17:18:00.000Z,1.466,1.447,1.5419999999999998,1.447,1.296,Stop Loss,-1.296,-12.96,0
NEARUSDT,2026-01-26T21:41:00.000Z,2026-01-26T21:42:00.000Z,1.448,1.441,1.4759999999999995,1.4759999999999995,0.483,Take Profit,1.934,19.34,2
NEARUSDT,2026-01-26T22:03:00.000Z,2026-01-26T22:06:00.000Z,1.472,1.47,1.4799999999999998,1.47,0.136,Stop Loss,-0.136,-1.36,0
NEARUSDT,2026-01-27T01:33:00.000Z,2026-01-27T09:10:00.000Z,1.473,1.461,1.5210000000000001,1.461,0.815,Stop Loss,-0.815,-8.15,0
NEARUSDT,2026-01-27T14:15:00.000Z,2026-01-27T17:11:00.000Z,1.461,1.447,1.5170000000000001,1.4750000000000003,0.958,Trailing SL (+1:1),0.958,9.58,2
DOGEUSDT,2026-01-27T16:07:00.000Z,2026-01-27T16:08:00.000Z,0.11906,0.11764,0.12474,0.12474,1.193,Take Profit,4.771,47.71,2
NEARUSDT,2026-01-27T17:31:00.000Z,2026-01-27T17:37:00.000Z,1.466,1.463,1.4779999999999995,1.463,0.205,Stop Loss,-0.205,-2.05,0
NEARUSDT,2026-01-28T00:51:00.000Z,2026-01-28T00:52:00.000Z,1.457,1.451,1.481,1.481,0.412,Take Profit,1.647,16.47,2
