VOLUME IMBALANCE - 3 MINUTE CHART
Period: Dec 1 2025 - Jan 28 2026

Timeframe,3m
Max SL,1.5%
R:R Ratio,1:4

TRADE DETAILS
Trade,Symbol,Date,Entry,Support (SL),Risk %,Result,P&L %,Capital
165,ETHUSDT,2026-01-11,3123.9608399999997,3114.4724100000003,0.30,LOSS,-0.30,2119.27
166,NEARUSDT,2026-01-11,1.6896879999999999,1.669329,1.20,WIN_LOCKED,1.20,2374.62
167,NEARUSDT,2026-01-12,1.6956939999999998,1.672326,1.38,LOSS,-1.38,2047.37
168,NEARUSDT,2026-01-12,1.676675,1.669329,0.44,LOSS,-0.44,1957.67
169,NEARUSDT,2026-01-12,1.6836819999999997,1.673325,0.62,LOSS,-0.62,1837.25
170,DOGEUSDT,2026-01-12,0.13649635999999998,0.13547439,0.75,LOSS,-0.75,1699.69
171,NEARUSDT,2026-01-12,1.6666649999999998,1.642356,1.46,BREAKEVEN,0.00,1699.69
172,NEARUSDT,2026-01-12,1.6776759999999997,1.661337,0.97,WIN_FULL,3.90,2361.83
173,NEARUSDT,2026-01-13,1.7427409999999999,1.733265,0.54,LOSS,-0.54,2233.41
174,ETHUSDT,2026-01-13,3134.1209899999994,3118.878,0.49,BREAKEVEN,0.00,2233.41
175,ETHUSDT,2026-01-13,3173.2300599999994,3150.5862599999996,0.71,WIN_FULL,2.85,2870.90
176,DOGEUSDT,2026-01-14,0.14914899999999998,0.14842143000000002,0.49,LOSS,-0.49,2730.85
177,ETHUSDT,2026-01-14,3334.65132,3311.83485,0.68,LOSS,-0.68,2544.00
178,NEARUSDT,2026-01-14,1.8468449999999998,1.8341640000000001,0.69,LOSS,-0.69,2369.32
179,DOGEUSDT,2026-01-14,0.14646631999999998,0.14566419,0.55,LOSS,-0.55,2239.56
180,DOGEUSDT,2026-01-14,0.14679664999999997,0.14547438,0.90,WIN_LOCKED,0.90,2441.29
181,DOGEUSDT,2026-01-14,0.14783768999999997,0.14613372,1.15,LOSS,-1.15,2159.91
182,NEARUSDT,2026-01-15,1.7997979999999998,1.792206,0.42,BREAKEVEN,0.00,2159.91
183,NEARUSDT,2026-01-15,1.7907889999999997,1.7782200000000001,0.70,LOSS,-0.70,2008.31
